"topic","term","beta"
14,"anger",0.000157332547306907
15,"anger",0.000224203596316616
1,"angry",0.000200296037092616
2,"angry",0.000112418939775454
3,"angry",6.29241149386366e-05
4,"angry",0.000434146731812711
5,"angry",0.00140334558119894
6,"angry",0.00118365606070775
7,"angry",0.000473290211161541
8,"angry",1.62612886931893e-05
9,"angry",8.44207993413658e-05
10,"angry",0.000302587128252811
11,"angry",0.000956117779931354
12,"angry",0.000211832574549118
13,"angry",0.00010318523529795
14,"angry",2.39353802168344e-05
15,"angry",0.000128783313113522
1,"ann",0.000173434292605422
2,"ann",0.000122998576674972
3,"ann",0.000423971899750495
4,"ann",2.0868914163518e-05
5,"ann",0.000322916904243135
6,"ann",1.81336996002938e-05
7,"ann",2.0126759965215e-05
8,"ann",0.000550901686964702
9,"ann",0.000363189347327001
10,"ann",0.000132729388531117
11,"ann",0.000133534950706398
12,"ann",1.93599170501905e-05
13,"ann",7.292024711143e-05
14,"ann",0.00018036072910858
15,"ann",0.000119886702840753
1,"answer",0.000308708339897968
2,"answer",0.00256845816850515
3,"answer",0.00244055742866782
4,"answer",0.000133125904430726
5,"answer",0.000241389981292263
6,"answer",0.000428391520720001
7,"answer",0.000974202412028845
8,"answer",0.00191477938334592
9,"answer",0.00104764897867862
10,"answer",0.000489588740980754
11,"answer",1.53754140414114e-05
12,"answer",0.00085745000294039
13,"answer",6.68926728077244e-05
14,"answer",0.000478809190321605
15,"answer",0.000422460869034423
1,"anthem",0.000213275734394229
2,"anthem",5.47016159627944e-05
3,"anthem",1.86403327778391e-06
4,"anthem",0.000311049605717461
5,"anthem",0.000101226784357092
6,"anthem",3.40271172778214e-05
7,"anthem",4.06115823193077e-05
8,"anthem",0.000781651747677792
9,"anthem",7.89603697146038e-06
10,"anthem",0.000123097945001736
11,"anthem",5.88809214029706e-05
12,"anthem",7.60753322633025e-05
13,"anthem",1.60624522717744e-05
14,"anthem",1.01353352036634e-05
15,"anthem",1.45706548205301e-05
1,"apologize",6.33787969543345e-05
2,"apologize",9.92396200313816e-05
3,"apologize",6.83666701297128e-05
4,"apologize",1.78774673774556e-05
5,"apologize",6.16671993630325e-05
6,"apologize",0.000182993162715008
7,"apologize",0.000170507487417009
8,"apologize",8.20891551671367e-05
9,"apologize",1.42415869509448e-05
10,"apologize",2.11952777776478e-05
11,"apologize",8.91533098398175e-05
12,"apologize",8.85268191437047e-06
13,"apologize",9.43018777095436e-05
14,"apologize",0.000534216134769183
15,"apologize",1.95699232431322e-06
1,"arabia",5.89987984184869e-06
2,"arabia",3.06801396714874e-06
3,"arabia",4.18315104062203e-06
4,"arabia",1.15956004690544e-06
5,"arabia",2.67974783213994e-06
6,"arabia",1.2616245575756e-05
7,"arabia",7.52999545928881e-06
8,"arabia",1.18477697689758e-06
9,"arabia",1.2787309523288e-06
10,"arabia",4.87419845992795e-06
11,"arabia",5.46911377679639e-07
12,"arabia",1.0724339716447e-06
13,"arabia",0.00211779232149315
14,"arabia",4.26065145119985e-06
15,"arabia",2.31888818908876e-06
1,"arm",3.07580775837809e-06
2,"arm",8.84334871934588e-05
3,"arm",0.000128618907915869
4,"arm",2.3695219062362e-05
5,"arm",1.73840871818011e-05
6,"arm",6.68656542124986e-05
7,"arm",9.32161869012468e-06
8,"arm",8.90193711117367e-05
9,"arm",9.09505619562449e-06
10,"arm",1.47407771730367e-05
11,"arm",1.80891878047727e-06
12,"arm",0.000157624806662178
13,"arm",1.86218626076946e-05
14,"arm",1.73121240537678e-05
15,"arm",2.41802984734557e-05
1,"arpaio",2.47071040774351e-05
2,"arpaio",0.000154781078382832
3,"arpaio",0.000713299918909414
4,"arpaio",0.000324003377913137
5,"arpaio",0.000450692813579565
6,"arpaio",5.68644416808966e-05
7,"arpaio",0.000125710443365614
8,"arpaio",6.07691014415826e-06
9,"arpaio",8.22629692470901e-06
10,"arpaio",0.000213583825339816
11,"arpaio",0.00186463036481444
12,"arpaio",0.000377918786963322
