speakers,clean_name,race,job,party,gender,pct_scored
AMY WALKER,Amy Walker,,,,,0
AMY WALTER,Amy Walter,,,,,0
AMY WALTERS,Amy Walters,,,,,0
ANDERSON COOPER,Anderson Cooper,white,journalist,na,male,1
Andrea ANDREA MITCHELL,Andrea Mitchell,white,journalist,na,female,1
ANDREA MITCHELL,Andrea Mitchell,white,journalist,na,female,1
Andrea Mitchell,Andrea Mitchell,white,journalist,na,female,1
ANDREA MITCHELL TAPE,Andrea Mitchell,white,journalist,na,female,1
ANDREW NAPOLITANO,Andrew Napolitano,white,pundit,rep,male,1
ANDREW ROSS SORKIN,Andrew Ross Sorkin,white,journalist,na,male,1
ANDY CARD,Andy Card,white,administration,rep,male,1
ANITA DUNN,Anita Dunn,white,administration,dem,female,1
ANITA HILL,Anita Hill,black,activist,dem,female,1
ANN COMPTON,Ann Compton,,,,,0
Ann Coulter,Ann Coulter,white,pundit,rep,female,1
ANN COULTER,Ann Coulter,white,pundit,rep,female,1
ANN MCKEE,Ann Mckee,,,,,0
ANNE GEARAN,Anne Gearan,,,,,0
ANTHONY FAUCI,Anthony Fauci,white,administration,na,male,1
ANTHONY SCARAMUCCI,Anthony Scaramucci,white,administration,rep,male,1
ANTONIN SCALIA,Antonin Scalia,white,supreme court,rep,male,1
APRIL RYAN,April Ryan,black,journalist,na,female,1
ARI FLEISCHER,Ari Fleischer,white,administration,rep,male,1
ARI PERITZ,Ari Peritz,,,,,0
ARIANNE ZUCKER,Arianne Zucker,,,,,0
ARNOLD REED,Arnold Reed,,,,,0
ARNOLD SCHWARZENEGGER,Arnold Schwarzenegger,white,elected,rep,male,1
ARSALAN IFTIKHAR,Arsalan Iftikhar,,,,,0
ARTHUR BROOKS,Arthur Brooks,,,,,0
ASH CARTER,Ash Carter,,,,,0
ASRA NOMANI,Asra Nomani,,,,,0
ATT GEN JEFF SESSIONS,Jeff Sessions,white,cabinet,rep,male,1
ATTORNEY GENERAL HOLDER,Eric Holder,black,cabinet,dem,male,1
ATTORNEY GENERAL JEFF SESSIONS,Jeff Sessions,white,cabinet,rep,male,1
ATTORNEY GENERAL LORETTA LYNCH,Loretta Lynch,black,cabinet,dem,female,1
AUBREY LARKIN,Aubrey Larkin,,,,,0
AUDIE CORNISH,Audie Cornish,,,,,0
AUSTAN GOOLSBEE,Austan Goolsbee,white,cabinet,dem,male,1
AUSTIN PETERSEN,Austin Petersen,,,,,0
AYMAN MOHYELDIN,Ayman Mohyeldin,,,,,0
BARACK OBAMA,Barack Obama,black,elected,dem,male,1
BARACK OBAMA ON TAPE,Barack Obama,black,elected,dem,male,1
BARBARA McQUADE,Barbara Mcquade,,,,,0
BEAU BIDEN,Beau Biden,white,elected,dem,male,1
BEAU WILLIMON,Beau Willimon,white,entertainer,na,male,1
BEN CARSON,Ben Carson,black,cabinet,rep,male,1
BEN CARSON R,Ben Carson,black,cabinet,rep,male,1
BEN GINSBERG,Ben Ginsberg,,,,,0
BEN RHODES,Ben Rhodes,white,administration,dem,male,1
BEN SHAPIRO,Ben Shapiro,,,,,0
BENJAMIN NETANYAHU,Benjamin Netanyahu,white,foreign leader,na,male,1
BERNIE SANDERS,Bernie Sanders,white,elected,ind,male,1
Bernie Sanders,Bernie Sanders,white,elected,ind,male,1
BETHANY HAINES,Bethany Haines,,,,,0
BEVERLY NELSON,Beverly Nelson,,,,,0
BILL BRATTON,Bill Bratton,white,sme,na,male,1
BILL CLINTON,Bill Clinton,white,elected,dem,male,1
BILL DE BLASIO,Bill De Blasio,white,elected,dem,male,1
BILL MCINTURFF,Bill Mcinturff,,,,,0
BILL MONROE,Bill Monroe,,,,,0
BILL NEELY,Bill Neely,,,,,0
BILL O REILLY,Bill O'Reilly,white,pundit,rep,male,1
BILL O<U+0092>REILLY ON TAPE,Bill O'Reilly,white,pundit,rep,male,1
BILL RICHARDSON,Bill Richardson,hispanic,elected,dem,male,1
BILLY BUSH,Billy Bush,white,other,na,male,1
BISHOP TD JAKES,TD Jakes,,,,,0
BOB BURLESON,Bob Burleson,,,,,0
BOB COSTAS,Bob Costas,white,journalist,na,male,1
BOB DOLE,Bob Dole,white,elected,rep,male,1
BOB MICHEL,Bob Michel,,,,,0
BOB SIMON,Bob Simon,,,,,0
BOBBY JINDAL,Bobby Jindal,asian,elected,rep,male,1
BOBBY SHRIVER,Bobby Shriver,,,,,0
BRAD PARSCALE,Brad Parscale,white,administration,rep,male,1
BRAD TODD,Brad Todd,,,,,0
BRADLEY PODLISKA,Bradley Podliska,,,,,0
BRENDA TENNEY,Brenda Tenney,,,,,0
BRET BAIER,Bret Baier,white,journalist,na,male,1
BRETT KUHN,Brett Kuhn,,,,,0
BRETT MCGURK,Brett Mcgurk,,,,,0
BRETT O<U+0092>DONNELL,Brett O'Donnell,,,,,0
BRIAN HANSELMAN,Brian Hanselman,,,,,0
BRIAN KILMEADE,Brian Kilmeade,white,pundit,rep,male,1
BRUCE SPRINGSTEEN,Bruce Springsteen,white,entertainer,dem,male,1
BRYANT GUMBEL,Bryant Gumbel,black,journalist,na,male,1
CAPT MARK KELLY,Mark Kelly,white,activist,dem,male,1
CARL QUINTANILLA,Carl Quintanilla,hispanic,journalist,na,male,1
CARLY FIORINA,Carly Fiorina,white,activist,rep,female,1
CAROL LEE,Carol Lee,,,,,0
CAROL ROSENBERG,Carol Rosenberg,,,,,0
CAROLYN RYAN,Carolyn Ryan,,,,,0
CARTER PAGE,Carter Page,white,administration,rep,male,1
CATHY ENGELBERT,Cathy Engelbert,,,,,0
CATHY LANIER,Cathy Lanier,,,,,0
CECILY STRONG,Cecily Strong,white,entertainer,dem,female,1
CECILY STRONG ON TAPE,Cecily Strong,white,entertainer,dem,female,1
Chad Griffin,Chad Griffin,,,,,0
CHANCELLOR KAYA HENDERSON,Kaya Henderson,,,,,0
CHARLES BENSON,Charles Benson,,,,,0
CHARLES DENT,Charles Dent,white,elected,rep,male,1
CHARLES KRAUTHAMMER,Charles Krauthammer,white,pundit,rep,male,1
CHARLES OGLETREE,Charles Ogletree,black,pundit,dem,male,1
CHARLES RAMSEY,Charles Ramsey,,,,,0
CHARLIE BLACK,Charlie Black,,,,,0
CHARLIE COOK,Charlie Cook,white,journalist,na,male,1
CHARLIE CRIST,Charlie Crist,white,elected,dem,male,1
CHARLIE DENT,Charlie Dent,white,elected,rep,male,1
CHARLIE ROSE,Charlie Rose,white,journalist,na,male,1
CHARLIE SYKES,Charlie Sykes,white,pundit,rep,male,1
Charlie Sykes,Charlie Sykes,white,pundit,rep,male,1
CHEVY CHASE,Chevy Chase,white,entertainer,na,male,1
CHIEF CATHY LANIER,Chief Cathy,white,sme,na,female,1
CHRIS CHRISTIE,Chris Christie,white,elected,rep,male,1
CHRIS CILLIZZA,Chris Cillizza,white,journalist,na,male,1
CHRIS CLAYTON,Chris Clayton,,,,,0
CHRIS HAYES,Chris Hayes,white,pundit,dem,male,1
CHRIS JANSING,Chris Jansing,white,journalist,na,female,1
CHRIS LEHANE,Chris Lehane,,,,,0
CHRIS MATTHEWS,Chris Matthews,white,pundit,dem,male,1
CHRIS PARNELL,Chris Parnell,,,,,0
CHRIS ROCK,Chris Rock,black,entertainer,dem,male,1
CHRIS RUDDY,Chris Ruddy,,,,,0
CHRIS WALLACE,Chris Wallace,white,journalist,na,male,1
CHRISTINA KRABLIN,Christina Krablin,,,,,0
CHRISTOPHER CANTWELL,Christopher Cantwell,,,,,0
CHRISTOPHER HANSEN,Christopher Hansen,,,,,0
CHUCK,Chuck Todd,white,journalist,na,male,1
CHUCK GRASSLEY,Chuck Grassley,white,elected,rep,male,1
CHUCK SCHUMER,Chuck Schumer,white,elected,dem,male,1
CHUCK TODD,Chuck Todd,white,journalist,na,male,1
Chuck Todd,Chuck Todd,white,journalist,na,male,1
CHUCK TODD ON TAPE,Chuck Todd,white,journalist,na,male,1
CHUCK TODD RECORDING,Chuck Todd,white,journalist,na,male,1
CHUCK TODD TAPE,Chuck Todd,white,journalist,na,male,1
CHUCK TODD V O,Chuck Todd,white,journalist,na,male,1
CINDY MORRISON,Cindy Morrison,,,,,0
CLAIRE ATKINSON,Claire Atkinson,,,,,0
CLAIRE MCCASKILL,Claire Mccaskill,white,elected,dem,female,1
CLIFFORD SLOAN,Clifford Sloan,,,,,0
CLINT WATTS,Clint Watts,,,,,0
CONAN O BRIEN,Conan O'Brien,white,entertainer,dem,male,1
CONGRESSAMN MARK MEADOWS,Mark Meadows,white,elected,rep,male,1
CONGRESSMAN CASTRO,Juaquin Castro,hispanic,elected,dem,male,1
CONGRESSMAN GREGORY MEEKS,Gregory Meeks,black,elected,dem,male,1
CONGRESSMAN LABRADOR,Raul Labrador,hispanic,elected,rep,male,1
CONGRESSMAN MIKE COFFMAN,Mike Coffman,white,elected,rep,male,1
CONGRESSMAN TIM RYAN,Tim Ryan,white,elected,dem,male,1
COREY LEWANDOWSKI,Corey Lewandowski,white,pundit,rep,male,1
CORNELL BELCHER,Cornell Belcher,black,pundit,dem,male,1
CORNELL BROOKS,Cornell Brooks,black,pundit,dem,male,1
CORNELL WILLIAM BROOKS,Cornell Brooks,black,pundit,dem,male,1
CORY BOOKER,Cory Booker,black,elected,dem,male,1
CORY GARDNER,Cory Gardner,white,elected,rep,male,1
CRAIG MELVIN,Craig Melvin,,,,,0
CURLY HAUGLAND,Curly Haugland,,,,,0
CURT SCHILLING,Curt Schilling,white,other,rep,male,1
CYNTHIA MCFADDEN,Cynthia Mcfadden,,,,,0
CYNTHIA MCFADDEN NATURAL SOUND,Cynthia Mcfadden,,,,,0
D WATKINS,D Watkins,,,,,0
DALE BUMPERS,Dale Bumpers,,,,,0
DALIA MOGAHED,Dalia Mogahed,,,,,0
DALLAS POLICE CHIEF DAVID BROWN,David Brown,black,sme,na,male,1
DAN AYKROYD,Dan Aykroyd,white,entertainer,dem,male,1
DAN BALZ,Dan Balz,white,journalist,na,male,1
DANIEL PATRICK MOYNIHAN,Daniel Patrick Moynihan,white,elected,dem,male,1
DANIEL SIMMONS,Daniel Simmons,,,,,0
DANIELLE PLETKA,Danielle Pletka,white,pundit,rep,female,1
DANNY FREEMAN,Danny Freeman,,,,,0
DARRELL BASHAM,Darrell Basham,,,,,0
DARRYL W PERRY,Darryl W,,,,,0
DAVID AXELROD,David Axelrod,white,pundit,dem,male,1
DAVID BOIES,David Boies,white,pundit,dem,male,1
DAVID BOSSIE,David Bossie,,,,,0
DAVID BRODY,David Brody,,,,,0
DAVID BROOKS,David Brooks,white,pundit,ind,male,1
David Brooks,David Brooks,white,pundit,ind,male,1
DAVID CAMERON,David Cameron,white,foreign leader,na,male,1
DAVID DUKE RECORDING,David Duke,white,activist,rep,male,1
DAVID FOLKENFLIK,David Folkenflik,,,,,0
DAVID FOSTER,David Foster,,,,,0
DAVID FRENCH,David French,white,pundit,rep,male,1
DAVID GREGORY,David Gregory,white,journalist,na,male,1
DAVID IGNATIUS,David Ignatius,white,pundit,dem,male,1
David Ignatius,David Ignatius,white,pundit,dem,male,1
DAVID LETTERMAN,David Letterman,white,entertainer,na,male,1
DAVID MARANISS,David Maraniss,,,,,0
DAVID MILLIBAND,David Milliband,,,,,0
DAVID MUIR,David Muir,,,,,0
DAVID PLOUFFE,David Plouffe,white,pundit,dem,male,1
DEAN BAQUET,Dean Baquet,,,,,0
DEAN YOUNG,Dean Young,,,,,0
DEBBIE DINGELL,Debbie Dingell,white,elected,dem,female,1
DEMAURICE SMITH,Demaurice Smith,,,,,0
DENIS MCDONOUGH,Denis Mcdonough,white,administration,dem,male,1
DENNIS HAYSBERT,Dennis Haysbert,,,,,0
Dennis Haysbert,Dennis Haysbert,,,,,0
DENNIS MEAGHER,Dennis Meagher,,,,,0
DEPUTY POLICE CHIEF DANIEL MURRAY,Daniel Murray,,sme,,male,0.5
DIAMOND REYNOLDS,Diamond Reynolds,,,,,0
DIANE BURKHART,Diane Burkhart,,,,,0
DIANNE FEINSTEIN,Dianne Feinstein,white,elected,dem,female,1
DICK CHENEY,Dick Cheney,white,elected,rep,male,1
DICK CHENEY ON TAPE,Dick Cheney,white,elected,rep,male,1
Dick Gregory,Dick Gregory,,,,,0
DIRECTOR JAMES COMEY,James Comey,white,administration,na,male,1
DONALD TRUMP,Donald Trump,white,elected,rep,male,1
DONALD TRUMP JR,Donald Trump Jr.,white,administration,rep,male,1
DONNA EDWARDS,Donna Edwards,black,elected,dem,female,1
DORIS KEARNS GOODWIN,Doris Kearns,white,historian,na,female,1
Doris Kearns Goodwin,Doris Kearns,white,historian,na,female,1
DOUG JONES,Doug Jones,,,,,0
DR ALAN J KUPERMAN,Dr Alan,,,,,0
DR BEN CARSON,Dr Ben,,,,,0
Dr Charmayne Horton,Dr Charmayne,,,,,0
DR DEBORAH NUCATOLA PLANNED PARENTHOOD ON TAPE,Dr. Deborah Nucatola,,activist,,,0.25
DR ERIN BOWEN,Dr Erin,,,,,0
DWAYNE JOHNSON,Dwayne Johnson,,,,,0
ED GILLESPIE,Ed Gillespie,,,,,0
ED HENRY,Ed Henry,,,,,0
EDDIE GLAUDE JR,Eddie Glaude,,,,,0
Eddie Glaude Jr,Eddie Glaude,,,,,0
Edie Windsor,Edie Windsor,,,,,0
EDWARD BROOKE,Edward Brooke,,,,,0
EDWARD LASTER,Edward Laster,,,,,0
EDWIN NEWMAN,Edwin Newman,,,,,0
ELIANA JOHNSON,Eliana Johnson,,,,,0
ELIE WIESEL,Elie Wiesel,,,,,0
ELIJAH CUMMINGS,Elijah Cummings,,,,,0
ELISABETH BUMILLER,Elisabeth Bumiller,,,,,0
ELISE JORDAN,Elise Jordan,,,,,0
ELIZABETH WARREN,Elizabeth Warren,,,,,0
ELLE REEVE,Elle Reeve,,,,,0
ELLEN DEGENERES,Ellen Degeneres,,,,,0
END TAPE CHUCK TODD,Chuck Todd,white,journalist,na,male,1
EPA ADMINISTRATOR SCOTT PRUITT,Scott Pruitt,white,cabinet,rep,male,1
ERIC CANTOR,Eric Cantor,,,,,0
ERIC RICHARDSON,Eric Richardson,,,,,0
ERIC TRUMP,Eric Trump,,,,,0
ERICK ERICKSON,Erick Erickson,,,,,0
ERICK ERICKSON ON TAPE,Erick Erickson,,,,,0
ERNA SOLBERG,Erna Solberg,,,,,0
ETHAN KRABLIN,Ethan Krablin,,,,,0
EUGENE MCCARTHY,Eugene Mccarthy,,,,,0
EUGENE ROBINSON,Eugene Robinson,,,,,0
Eugene Robinson,Eugene Robinson,,,,,0
EVAN KOHLMANN,Evan Kohlmann,,,,,0
EVAN MCMULLIN,Evan Mcmullin,white,activist,rep,male,1
EVAN THOMAS,Evan Thomas,white,historian,na,male,1
EVAN WOLFSON,Evan Wolfson,,,,,0
F B I DIRECTOR JAMES COMEY,James Comey,white,administration,na,male,1
FEMA ADMINISTRATOR BROCK LONG,Brock Long,white,administration,rep,male,1
FEMALE REPORTER RECORDING,Female Reporter,,journalist,na,female,0.75
FIDEL CASTRO,Fidel Castro,hispanic,foreign leader,na,male,1
FIRE COMMISSIONER DANIEL NIGRO,Daniel Nigro,,,,,0
FMR AMB ANDREW YOUNG,Andrew Young,black,ambassador,dem,male,1
FMR AMB ROBERT FORD,Robert Ford,,,,,0
FMR DIR JAMES CLAPPER,James Clapper,white,administration,na,male,1
FMR GOV JEB BUSH,Jeb Bush,white,elected,rep,male,1
FMR GOV JEB BUSH R FL,Jeb Bush,white,elected,rep,male,1
FMR GOV MARIO CUOMO,Mario Cuomo,white,elected,dem,male,1
FMR GOV MARTIN O MALLEY,Martin O'Malley,white,elected,dem,male,1
FMR GOV MIKE HUCKABEE,Mike Huckabee,white,elected,rep,male,1
FMR GOV PAT MCCRORY,Pat McCrory,white,elected,rep,male,1
FMR MAYOR MICHAEL BLOOMBERG,Michael Bloomberg,white,elected,ind,male,1
FMR REP J C WATTS,JC Watts,,,,,0
FMR SEC HILLARY CLINTON,Hillary Clinton,white,cabinet,dem,female,1
FMR SEC OF STATE JOHN KERRY,John Kerry,white,cabinet,dem,male,1
FMR SEN FRED THOMPSON,Fred Thompson,white,elected,rep,male,1
FMR SEN JACK DANFORTH ON TAPE,Jack Danforth,white,elected,,male,0.75
FMR SEN JIM DEMINT,Jim DeMint,white,elected,rep,male,1
FMR SEN JIM WEBB,Jim Webb,white,elected,dem,male,1
FMR SENATOR RICK SANTORUM,Rick Santorum,white,elected,rep,male,1
FMR VICE PRESIDENT JOE BIDEN,Joe Biden,white,elected,dem,male,1
FRANCOIS HEISBOURG,Francois Heisbourg,,,,,0
FRANK LUNTZ,Frank Luntz,white,pundit,rep,male,1
FRANK LUTZ,Frank Lutz,,,,,0
FRED ARMISEN,Fred Armisen,,,,,0
FRED YANG,Fred Yang,asian,pundit,dem,male,1
GABE GUTIERREZ,Gabe Gutierrez,,,,,0
GABE SHERMAN,Gabe Sherman,white,journalist,na,male,1
GARRICK UTLEY,Garrick Utley,,,,,0
GARRY KASPAROV,Garry Kasparov,white,activist,na,male,1
GARRY TRUDEAU,Garry Trudeau,,,,,0
GARY COHN,Gary Cohn,white,administration,rep,male,1
GARY JOHNSON,Gary Johnson,white,elected,ind,male,1
GEN RAY ODIERNO,Ray Odierno,hispanic,military,na,male,1
GENERAL BARRY McCAFFREY NBC NEWS MILITARY ANALYST,Barry McCaffrey,,sme,,,0.25
GENERAL MIKE FLYNN,Mike Flynn,white,administration,rep,male,1
GEORGE BUSH,George Bush,white,elected,rep,male,1
GEORGE CLOONEY,George Clooney,white,activist,dem,male,1
GEORGE H W BUSH,George H.W. Bush,white,elected,rep,male,1
GEORGE PATAKI,George Pataki,,,,,0
GEORGE STEPHANOPOULOS,George Stephanopoulos,,,,,0
GEORGE W BUSH,George W,,,,,0
GEORGE WEIGEL,George Weigel,,,,,0
GEORGE WILL,George Will,,,,,0
George Will,George Will,,,,,0
GERALD FORD,Gerald Ford,,,,,0
GERALD SEIB,Gerald Seib,,,,,0
GERARD BAKER,Gerard Baker,,,,,0
Glenn Beck,Glenn Beck,,,,,0
GLENN BECK,Glenn Beck,,,,,0
GLORIA STEINEM,Gloria Steinem,,,,,0
GOV ASA HUTCHINSON,Gov Asa,,,,,0
GOV BILL HASLAM,Bill Haslam,white,elected,rep,male,1
GOV CHRIS CHRISTIE,Gov Chris,,,,,0
GOV JEB BUSH,Gov Jeb,,,,,0
GOV JERRY BROWN,Gov Jerry,,,,,0
GOV JOHN HICKENLOOPER,Gov John,,,,,0
GOV JOHN KASICH,Gov John,,,,,0
GOV JOHN KASICH R OH,Gov John,,,,,0
GOV KENNETH MAPP I VI,Gov Kenneth,,,,,0
GOV MIKE HUCKABEE,Gov Mike,,,,,0
GOV MIKE PENCE,Mike Pence,white,elected,rep,male,1
GOV MITT ROMNEY,Gov Mitt,,,,,0
GOV NIKKI HALEY,Gov Nikki,,,,,0
GOV PAT MCCRORY,Gov Pat,,,,,0
GOV PAUL LEPAGE,Gov Paul,,,,,0
GOV RICK PERRY,Gov Rick,,,,,0
GOV RICK SCOTT,Gov Rick,,,,,0
GOV SCOTT WALKER,Gov Scott,,,,,0
GOVERNOR BOBBY JINDAL,Governor Bobby,,,,,0
GOVERNOR GARY JOHNSON,Governor Gary,,,,,0
GOVERNOR JERRY BROWN,Governor Jerry,,,,,0
GOVERNOR JIM JUSTICE,Governor Jim,,,,,0
GOVERNOR JOHN KASICH,Governor John,,,,,0
GOVERNOR MIKE PENCE,Mike Pence,white,elected,rep,male,1
GRANT HATTER,Grant Hatter,,,,,0
GREENPEACE ACTIVIST,Greenpeace Activist,,,,,0
GREG BOURKE,Greg Bourke,,,,,0
GREGG POPOVICH,Gregg Popovich,,,,,0
GRETA VAN SUSTEREN,Greta Van,,,,,0
GROUP VOICES,Group Voices,,,,,0
Guess what,Guess What,,,,,0
GWEN IFILL,Gwen Ifill,,,,,0
H R MCMASTER,H R,,,,,0
HAL BOEDEKER,Hal Boedeker,,,,,0
HALEY BARBOUR,Haley Barbour,,,,,0
HALLIE JACKSON,Hallie Jackson,,,,,0
HAMEED DARWEESH,Hameed Darweesh,,,,,0
HARLAN QUICK,Harlan Quick,,,,,0
HARRISON FORD,Harrison Ford,,,,,0
HARRY REID,Harry Reid,,,,,0
HARRY REID ON TAPE,Harry Reid,,,,,0
HARRY SMITH,Harry Smith,,,,,0
HARSHA 19 YEAR OLD VOTER,Harsha 19 Year,,,,,0
HASAN MINHAJ,Hasan Minhaj,,,,,0
He wrote this quote,He Wrote,,,,,0
Health care,Health Care,,,,,0
HEATHER,,,,,,0
HEATHER McGHEE,Heather Mcghee,,,,,0
HEATHER MCGHEE,Heather Mcghee,,,,,0
Heather McGhee,Heather Mcghee,,,,,0
HELEN COOPER,Helen Cooper,,,,,0
HELENE COOPER,Helene Cooper,,,,,0
HENRY BARBOUR,Henry Barbour,,,,,0
HENRY HANK SANDERS,Henry Hank,,,,,0
HENRY KISSINGER,Henry Kissinger,,,,,0
here is what I want,Here Is,,,,,0
Here s my question,Here S,,,,,0
HILLARY CLINTON,Hillary Clinton,,,,,0
HILLARY CLINTON ARCHIVE,Hillary Clinton,,,,,0
HILLARY CLINTON ON TAPE,Hillary Clinton,,,,,0
HILLARY SUPPORTER,Hillary Supporter,,,,,0
HOGAN GIDLEY,Hogan Gidley,,,,,0
HON JAMES ROBART,Hon James,,,,,0
HOUSE SPEAKER PAUL RYAN,House Speaker,,,,,0
HOWARD DEAN,Howard Dean,,,,,0
HOWARD STERN,Howard Stern,,,,,0
HUGH HEWITT,Hugh Hewitt,,,,,0
I guess the question is,I Guess,,,,,0
I start my day at 6,I Start,,,,,0
I was up until 2,I Was,,,,,0
IAN MERCER,Ian Mercer,,,,,0
INAUGURATION ATTENDEE,Inauguration Attendee,,,,,0
INTERVIEWEE,Interview,,,,,0
INTERVIEWER,Interview,,,,,0
ISIS EXECUTIONER,Isis Executioner,,,,,0
JACK GERMOND,Jack Germond,,,,,0
JAKE 22 YEAR OLD VOTER,Jake 22 Year,,,,,0
JAMES CARR,James Carr,,,,,0
JAMES CARVILLE,James Carville,,,,,0
JAMES CLAPPER,James Clapper,,,,,0
JAMES CLINTON VOTER,James Clinton,,,,,0
JAMES COMEY,James Comey,,,,,0
JAMES STOCKDALE,James Stockdale,,,,,0
JAMIE DIMON,Jamie Dimon,,,,,0
JAN CRAWFORD,Jan Crawford,,,,,0
JAN HOOKS,Jan Hooks,,,,,0
JAN RADER,Jan Rader,,,,,0
JANE FONDA,Jane Fonda,,,,,0
JANE HARMAN,Jane Harman,,,,,0
JANICE CICCO,Janice Cicco,,,,,0
JASON SUDEIKIS,Jason Sudeikis,,,,,0
JAVAD ZARIF,Javad Zarif,,,,,0
JAY HELTON,Jay Helton,,,,,0
JAY SEKULOW,Jay Sekulow,,,,,0
JAY WEBER,Jay Weber,,,,,0
JEAN CHARLES BRISARD,Jean Charles,,,,,0
JEAN CHARLES BRISARD TERRORISM AND SECURITY EXPERT,Jean Charlse Brisard,,sme,,,0.25
JEANINE PIRRO,Jeanine Pirro,,,,,0
JEB BUSH,Jeb Bush,white,elected,rep,male,1
Jeb Bush,Jeb Bush,white,elected,rep,male,1
JEB BUSH ON TAPE,Jeb Bush,white,elected,rep,male,1
JEFF FLAKE,Jeff Flake,,,,,0
JEFF GREENBERG,Jeff Greenberg,,,,,0
JEFF GREENFIELD,Jeff Greenfield,,,,,0
JEFF PASH,Jeff Pash,,,,,0
JEFF ROE,Jeff Roe,,,,,0
JEFF SESSIONS,Jeff Sessions,,,,,0
JEFFREY GOLDBERG,Jeffrey Goldberg,,,,,0
JEH JOHNSON,Jeh Johnson,,,,,0
JENNIFER JACOBS,Jennifer Jacobs,,,,,0
JENNIFER MILLER,Jennifer Miller,,,,,0
JENNIFER PALMIERI,Jennifer Palmieri,,,,,0
JENNIFER RUBEN,Jennifer Ruben,,,,,0
JENNIFER RUBIN,Jennifer Rubin,,,,,0
Jennifer Rubin,Jennifer Rubin,,,,,0
JENNIFER SATTERFIELD,Jennifer Satterfield,,,,,0
JEREMY BASH,Jeremy Bash,,,,,0
JERRY BROWN,Jerry Brown,,,,,0
JERRY BROWN 1,Jerry Brown,,,,,0
JERRY BROWN CLIP 2,Jerry Brown,,,,,0
JERRY SEIB,Jerry Seib,,,,,0
JERRY SEINFELD,Jerry Seinfeld,,,,,0
JESSICA LEEDS,Jessica Leeds,,,,,0
JIHADI JOHN,Jihadi John,,,,,0
JIM BENNETT,Jim Bennett,,,,,0
JIM BROWN,Jim Brown,,,,,0
JIM CRAMER,Jim Cramer,,,,,0
JIM DONOVAN,Jim Donovan,,,,,0
JIM HIMES,Jim Himes,,,,,0
JIM KELLY OFF CAMERA AT THE 2015 NFL HONORS,Jim Kelly,,,,,0
JIM VANCE,Jim Vance,,,,,0
JIM VANDEHEI,Jim Vandehei,,,,,0
JIM WIDMEYER,Jim Widmeyer,,,,,0
JIMMY CARTER,Jimmy Carter,,,,,0
JIMMY FALLON,Jimmy Fallon,,,,,0
JIMMY KIMMEL,Jimmy Kimmel,,,,,0
JJ WATT,Jj Watt,,,,,0
JM BERGER,Jm Berger,,,,,0
JOE BIDEN,Joe Biden,white,elected,dem,male,1
JOE LOCKHART,Joe Lockhart,,,,,0
JOE MANCHIN,Joe Manchin,,,,,0
JOE MCQUAID,Joe Mcquaid,,,,,0
JOE SCARBOROUGH,Joe Scarborough,,,,,0
JOE TOOHEY,Joe Toohey,,,,,0
JOEL BENENSON,Joel Benenson,,,,,0
John Anderson,John Anderson,,,,,0
JOHN BOEHNER,John Boehner,,,,,0
